     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.011,SinterMWPFDecoder.125649886010928,782b05a90959e5bd5169bb81e0f22e8183088f2caefe9f7c15ca71524f214e1e,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":11,""decoder"":""SinterMWPFDecoder"",""decoder_type"":""SolverSerialJointSingleHair"",""decoder_version"":""0.2.12+dev1"",""p"":0.0065,""p_erase"":0.0,""r"":11,""run_id"":125649886010928,""sinter_version"":""1.16.dev1761611832"",""stim_version"":""1.16.dev1761611832""}",
         1,         0,         0,   0.013,SinterMWPFDecoder.125649886010928,1aa427a52ba2bec25092848f6dac4f7cd0c1809820fd4107f906a4e8dac4f5ba,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":11,""decoder"":""SinterMWPFDecoder"",""decoder_type"":""SolverSerialJointSingleHair"",""decoder_version"":""0.2.12+dev1"",""p"":0.004,""p_erase"":0.0,""r"":11,""run_id"":125649886010928,""sinter_version"":""1.16.dev1761611832"",""stim_version"":""1.16.dev1761611832""}",
         1,         0,         0,   0.084,SinterMWPFDecoder.125649886104880,e26116d47ebbd87f5881895baf404362e84a6de419d52183027c2caada4a3d0f,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":11,""decoder"":""SinterMWPFDecoder"",""decoder_type"":""SolverSerialJointSingleHair"",""decoder_version"":""0.2.12+dev1"",""p"":0.003,""p_erase"":0.0,""r"":11,""run_id"":125649886104880,""sinter_version"":""1.16.dev1761611832"",""stim_version"":""1.16.dev1761611832""}",
         1,         0,         0,   0.092,SinterMWPFDecoder.125649886010928,6deae32c89233df6a180bbe45b9db2efa145b69352b4d7e72cab5277828bb4c4,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":11,""decoder"":""SinterMWPFDecoder"",""decoder_type"":""SolverSerialJointSingleHair"",""decoder_version"":""0.2.12+dev1"",""p"":0.009,""p_erase"":0.0,""r"":11,""run_id"":125649886010928,""sinter_version"":""1.16.dev1761611832"",""stim_version"":""1.16.dev1761611832""}",
         1,         0,         0,   0.117,SinterMWPFDecoder.125649886104880,e26116d47ebbd87f5881895baf404362e84a6de419d52183027c2caada4a3d0f,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":11,""decoder"":""SinterMWPFDecoder"",""decoder_type"":""SolverSerialJointSingleHair"",""decoder_version"":""0.2.12+dev1"",""p"":0.003,""p_erase"":0.0,""r"":11,""run_id"":125649886104880,""sinter_version"":""1.16.dev1761611832"",""stim_version"":""1.16.dev1761611832""}",
         1,         0,         0,   0.126,SinterMWPFDecoder.125649886010928,6deae32c89233df6a180bbe45b9db2efa145b69352b4d7e72cab5277828bb4c4,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":11,""decoder"":""SinterMWPFDecoder"",""decoder_type"":""SolverSerialJointSingleHair"",""decoder_version"":""0.2.12+dev1"",""p"":0.009,""p_erase"":0.0,""r"":11,""run_id"":125649886010928,""sinter_version"":""1.16.dev1761611832"",""stim_version"":""1.16.dev1761611832""}",
         4,         0,         0,   0.045,SinterMWPFDecoder.125649886104880,e26116d47ebbd87f5881895baf404362e84a6de419d52183027c2caada4a3d0f,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":11,""decoder"":""SinterMWPFDecoder"",""decoder_type"":""SolverSerialJointSingleHair"",""decoder_version"":""0.2.12+dev1"",""p"":0.003,""p_erase"":0.0,""r"":11,""run_id"":125649886104880,""sinter_version"":""1.16.dev1761611832"",""stim_version"":""1.16.dev1761611832""}",
         1,         0,         0,   0.156,SinterMWPFDecoder.125649886010928,d76eba234513909942264c8fc4ed61adf73a8275479c22d75800ad651237aef4,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":11,""decoder"":""SinterMWPFDecoder"",""decoder_type"":""SolverSerialJointSingleHair"",""decoder_version"":""0.2.12+dev1"",""p"":0.007,""p_erase"":0.0,""r"":11,""run_id"":125649886010928,""sinter_version"":""1.16.dev1761611832"",""stim_version"":""1.16.dev1761611832""}",
         1,         0,         0,   0.231,SinterMWPFDecoder.125649886010928,39fc63d30814705bd938f465f3b6c37a21d89646e08d9fb9026e7fd247e5a734,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":11,""decoder"":""SinterMWPFDecoder"",""decoder_type"":""SolverSerialJointSingleHair"",""decoder_version"":""0.2.12+dev1"",""p"":0.005,""p_erase"":0.0,""r"":11,""run_id"":125649886010928,""sinter_version"":""1.16.dev1761611832"",""stim_version"":""1.16.dev1761611832""}",
         1,         0,         0,   0.197,SinterMWPFDecoder.125649886010928,8804d2bdeeef2bc968127a1a269b0f6f59efea268d7495043e637af7fd701733,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":11,""decoder"":""SinterMWPFDecoder"",""decoder_type"":""SolverSerialJointSingleHair"",""decoder_version"":""0.2.12+dev1"",""p"":0.01,""p_erase"":0.0,""r"":11,""run_id"":125649886010928,""sinter_version"":""1.16.dev1761611832"",""stim_version"":""1.16.dev1761611832""}",
