     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
        17,         0,         0,   0.012,mwpf__be13af6e4aecc79fd8470069cbeba0b7402ccae8a2a39ca14aa05aab56e13157,a0053533921bc46fbfe14bb420d60339e3870782d8212090091825118b30ddec,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":3,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.006,""p_erase"":0.0,""r"":3,""run_id"":""dd60754122c9f7a810b0c1d8b1c92188ea52870232067546237f0fa25d610548""}",
       273,         0,         0,   0.017,mwpf__dced78135bd52c04bba10b515d4a91692dee24b8a04d4984c307073656943ffb,72b113c0355b3f34501fe2d9bc415951079307c7c15cd05285136221a1fc4dc0,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":3,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.004,""p_erase"":0.0,""r"":3,""run_id"":""90efa888ab0be85c6dc82d20d594fb219f455db906f7e8f7ad923a214270e30c""}",
       273,         3,         0,   0.048,mwpf__03fa2c6e37aff7c81ae22b7dea7a504d3eb26ec3a7b349088c7bcea7a9871e0c,6267ba7f3c1c772896eebefc6d523adb68e82d38d020e307be1f733b70ad8bd3,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":3,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.007,""p_erase"":0.0,""r"":3,""run_id"":""135e03791629607bb61bf8b9b22bc12f2324f26b65e31e82f5c3cd97d24c99c9""}",
        17,         1,         0,   0.052,mwpf__43962ba459d86cd819b8558032ffa6472ba0555135068fb74009d94b7bad5532,1b4e499b3b262af26ba14e01aa169e3a7f2d864a488b68fa6fba53177a53ffcc,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":3,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.008,""p_erase"":0.0,""r"":3,""run_id"":""842b8d9622dd95e081373b13334f0c4c970c25ea256e90e9985b8d1bb6968aef""}",
       273,         4,         0,   0.075,mwpf__d56b027df54bbcee1a569d4b790c31989f5693ab552e6ad7d4b399bc8a5b7ae2,f0a51108deaa2e813a85a0daf8998382d985f25173b21c56aa0f0dddcd7c45dc,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":3,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.009,""p_erase"":0.0,""r"":3,""run_id"":""f3773bbf3001f7044304ac6a12d9ddb4d020a1b2b51ce7b475f4f14944f915f3""}",
        17,         1,         0,   0.078,mwpf__f1c73b55d20502edeb1352a97286268c1728587a9a613ad3646eea7ce6f5b0e8,c945d4451adf51d3115cab618d9042a74af97ed090632e5d8ded54a9c2a8acaa,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":3,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.005,""p_erase"":0.0,""r"":3,""run_id"":""5101ac8ef9c97b83df4dd9d8fb12d7b219d036893929703eba32fffa9e647600""}",
         1,         0,         0,   0.013,mwpf__74b18df185b22796a559f32f488c1f95ef0d82d34c256906317561e4acce78ec,ff1f59d74e0a85a29f4995de86372e17ef6d73f50ef84112e0cd3a298e221696,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":5,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.009,""p_erase"":0.0,""r"":5,""run_id"":""c32281a89ec9fb6ef8731b931cbe729d04602aba0eeadfec21fc1875143cc8af""}",
        17,         0,         0,   0.024,mwpf__9d3e7a869e7911d9ce122143a3492c036ddd4432f11bd090435ee7772beb17ae,6d5c7f274b75ae537824437920d4a7ca50ed98e1dfa880fcbb9eccb2e87a1048,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":5,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.006,""p_erase"":0.0,""r"":5,""run_id"":""136e458ea1bb00db5031dfe54473bc21d7f67216ffcf15b01c0f763ac55c92f3""}",
       128,         1,         0,   0.042,mwpf__43962ba459d86cd819b8558032ffa6472ba0555135068fb74009d94b7bad5532,1b4e499b3b262af26ba14e01aa169e3a7f2d864a488b68fa6fba53177a53ffcc,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":3,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.008,""p_erase"":0.0,""r"":3,""run_id"":""842b8d9622dd95e081373b13334f0c4c970c25ea256e90e9985b8d1bb6968aef""}",
        17,         1,         0,   0.114,mwpf__b0b7dc35549e4684aaf56d7f39208097266fbb01b99fc634aa5cc65cb30d3fd9,28ac44c8c5b47a07887bdc431a672e9f8611047ab24d905f93db9d3c36d03445,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":3,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.015,""p_erase"":0.0,""r"":3,""run_id"":""b44761db4df8b64c8917c437ae7fe1c452a55149c1dc7a5ca0f619d5bff0315c""}",
       256,         4,         0,   0.107,mwpf__be13af6e4aecc79fd8470069cbeba0b7402ccae8a2a39ca14aa05aab56e13157,a0053533921bc46fbfe14bb420d60339e3870782d8212090091825118b30ddec,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":3,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.006,""p_erase"":0.0,""r"":3,""run_id"":""dd60754122c9f7a810b0c1d8b1c92188ea52870232067546237f0fa25d610548""}",
       273,         7,         0,   0.120,mwpf__682d5c8b1e761a1076b65dca539a2d15d82ad086708269570743d5b5c12e48ec,7ee21ac07e1d2d837dee1b9de812df8e43271af75c9d02b6bafea9ec15c9affa,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":3,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.0065,""p_erase"":0.0,""r"":3,""run_id"":""b8f63b3afee4afe98e7bbb30f20c4398dd3b9aec649fcfb3e47705c2a2c61b36""}",
        17,         0,         0,   0.010,mwpf__6dc40dd78a7537f759b93670cd0af0008adf279fbc2acda6010b04619b90078a,71b64adea95d26ec136e0f6d5c44173faab2351254ae92ff6c2fb79fe431c3f7,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":5,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.004,""p_erase"":0.0,""r"":5,""run_id"":""2c1d23bd89bcf5d6d623dffd52817527ab5ba820bb8c60558a749cc97b051f30""}",
         1,         0,         0,   0.051,mwpf__e098ae1eaf131a692c7d269ecd7c0b356809a18a2ccc52547656bea351773dd9,c4e2e9f4264f6040fcd119a2d32c96bd25a12364f525742dd40c8b2e504c5240,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":5,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.01,""p_erase"":0.0,""r"":5,""run_id"":""669fd91e75976823dd1cbb6f0d860524121f186f614db6fb259f60c1945fce8a""}",
         1,         0,         0,   0.059,mwpf__d6e273bec9b587e85ba4f19af1099d5769edba9e40437c8089c08ed25bd72758,5388f8eb2e6e41b439260433c3419bdbf5f8b4bd5b8e2a2c70a24a791cee3145,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":5,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.008,""p_erase"":0.0,""r"":5,""run_id"":""bfa3c7cba13850dd37e54bb29bb945687e3fe04272a3151e2ac8acb7416976e7""}",
         1,         0,         0,   0.059,mwpf__951eb3349e78cec2a155134d7fb171e1ad03d800a86442f3c4b76397f4c7fd4d,cde164a21cdab97d63839b3f64b1c2e5cf62ef5d8be22509c82bac34fbb3e2b2,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":5,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.007,""p_erase"":0.0,""r"":5,""run_id"":""fc11e6013551ff75fa4759b0fc71e28cb776c1e995679ad07f9247f45c9ad106""}",
         1,         0,         0,   0.070,mwpf__3f1b64a9ac39918fdfc1d8685d2ae22620c080992f83b482a25d7b8f1adaea5a,0b2a8a048818ac11f66a73bdbd1d5dc5a971687b6a9c1ab5af8e2dcdd4f0c1bf,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":5,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.015,""p_erase"":0.0,""r"":5,""run_id"":""6fe96edac5c8fb2c1aed8ea14c67ceeb92423fdf3ce9e1c97fff0ce2aa5d5538""}",
