     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         1,         0,   0.081,mwpf__7595f1989eefae4de82e904e644f49a63fe471a3031b60ee07beb76bf34e0318,ed5ad73d89f3984fc931dc682223eae7c7b7a5bf74a81399144ce6b3aa024db1,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""decoder_version"":""0.2.12+fixmemleak4"",""p"":0.05,""p_erase"":0.05,""r"":9,""run_id"":""d0fc549aaf594df7da81bf665580cfc50f637ab35c007f9fdca63182282e2fd0"",""sinter_version"":""1.16.dev1761611832"",""stim_version"":""1.16.dev1761611832""}",
         4,         1,         0,   0.407,mwpf__7595f1989eefae4de82e904e644f49a63fe471a3031b60ee07beb76bf34e0318,ed5ad73d89f3984fc931dc682223eae7c7b7a5bf74a81399144ce6b3aa024db1,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""decoder_version"":""0.2.12+fixmemleak4"",""p"":0.05,""p_erase"":0.05,""r"":9,""run_id"":""d0fc549aaf594df7da81bf665580cfc50f637ab35c007f9fdca63182282e2fd0"",""sinter_version"":""1.16.dev1761611832"",""stim_version"":""1.16.dev1761611832""}",
         4,         1,         0,   0.381,mwpf__7595f1989eefae4de82e904e644f49a63fe471a3031b60ee07beb76bf34e0318,ed5ad73d89f3984fc931dc682223eae7c7b7a5bf74a81399144ce6b3aa024db1,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""decoder_version"":""0.2.12+fixmemleak4"",""p"":0.05,""p_erase"":0.05,""r"":9,""run_id"":""d0fc549aaf594df7da81bf665580cfc50f637ab35c007f9fdca63182282e2fd0"",""sinter_version"":""1.16.dev1761611832"",""stim_version"":""1.16.dev1761611832""}",
         4,         2,         0,   0.395,mwpf__7595f1989eefae4de82e904e644f49a63fe471a3031b60ee07beb76bf34e0318,ed5ad73d89f3984fc931dc682223eae7c7b7a5bf74a81399144ce6b3aa024db1,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""decoder_version"":""0.2.12+fixmemleak4"",""p"":0.05,""p_erase"":0.05,""r"":9,""run_id"":""d0fc549aaf594df7da81bf665580cfc50f637ab35c007f9fdca63182282e2fd0"",""sinter_version"":""1.16.dev1761611832"",""stim_version"":""1.16.dev1761611832""}",
         4,         2,         0,   0.490,mwpf__7595f1989eefae4de82e904e644f49a63fe471a3031b60ee07beb76bf34e0318,ed5ad73d89f3984fc931dc682223eae7c7b7a5bf74a81399144ce6b3aa024db1,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""decoder_version"":""0.2.12+fixmemleak4"",""p"":0.05,""p_erase"":0.05,""r"":9,""run_id"":""d0fc549aaf594df7da81bf665580cfc50f637ab35c007f9fdca63182282e2fd0"",""sinter_version"":""1.16.dev1761611832"",""stim_version"":""1.16.dev1761611832""}",
         4,         1,         0,   0.419,mwpf__7595f1989eefae4de82e904e644f49a63fe471a3031b60ee07beb76bf34e0318,ed5ad73d89f3984fc931dc682223eae7c7b7a5bf74a81399144ce6b3aa024db1,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""decoder_version"":""0.2.12+fixmemleak4"",""p"":0.05,""p_erase"":0.05,""r"":9,""run_id"":""d0fc549aaf594df7da81bf665580cfc50f637ab35c007f9fdca63182282e2fd0"",""sinter_version"":""1.16.dev1761611832"",""stim_version"":""1.16.dev1761611832""}",
         4,         3,         0,   0.449,mwpf__7595f1989eefae4de82e904e644f49a63fe471a3031b60ee07beb76bf34e0318,ed5ad73d89f3984fc931dc682223eae7c7b7a5bf74a81399144ce6b3aa024db1,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""decoder_version"":""0.2.12+fixmemleak4"",""p"":0.05,""p_erase"":0.05,""r"":9,""run_id"":""d0fc549aaf594df7da81bf665580cfc50f637ab35c007f9fdca63182282e2fd0"",""sinter_version"":""1.16.dev1761611832"",""stim_version"":""1.16.dev1761611832""}",
         4,         0,         0,   0.450,mwpf__7595f1989eefae4de82e904e644f49a63fe471a3031b60ee07beb76bf34e0318,ed5ad73d89f3984fc931dc682223eae7c7b7a5bf74a81399144ce6b3aa024db1,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""decoder_version"":""0.2.12+fixmemleak4"",""p"":0.05,""p_erase"":0.05,""r"":9,""run_id"":""d0fc549aaf594df7da81bf665580cfc50f637ab35c007f9fdca63182282e2fd0"",""sinter_version"":""1.16.dev1761611832"",""stim_version"":""1.16.dev1761611832""}",
         4,         1,         0,   0.472,mwpf__7595f1989eefae4de82e904e644f49a63fe471a3031b60ee07beb76bf34e0318,ed5ad73d89f3984fc931dc682223eae7c7b7a5bf74a81399144ce6b3aa024db1,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""decoder_version"":""0.2.12+fixmemleak4"",""p"":0.05,""p_erase"":0.05,""r"":9,""run_id"":""d0fc549aaf594df7da81bf665580cfc50f637ab35c007f9fdca63182282e2fd0"",""sinter_version"":""1.16.dev1761611832"",""stim_version"":""1.16.dev1761611832""}",
         4,         3,         0,   0.460,mwpf__7595f1989eefae4de82e904e644f49a63fe471a3031b60ee07beb76bf34e0318,ed5ad73d89f3984fc931dc682223eae7c7b7a5bf74a81399144ce6b3aa024db1,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""decoder_version"":""0.2.12+fixmemleak4"",""p"":0.05,""p_erase"":0.05,""r"":9,""run_id"":""d0fc549aaf594df7da81bf665580cfc50f637ab35c007f9fdca63182282e2fd0"",""sinter_version"":""1.16.dev1761611832"",""stim_version"":""1.16.dev1761611832""}",
         4,         2,         0,   0.427,mwpf__7595f1989eefae4de82e904e644f49a63fe471a3031b60ee07beb76bf34e0318,ed5ad73d89f3984fc931dc682223eae7c7b7a5bf74a81399144ce6b3aa024db1,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""decoder_version"":""0.2.12+fixmemleak4"",""p"":0.05,""p_erase"":0.05,""r"":9,""run_id"":""d0fc549aaf594df7da81bf665580cfc50f637ab35c007f9fdca63182282e2fd0"",""sinter_version"":""1.16.dev1761611832"",""stim_version"":""1.16.dev1761611832""}",
         4,         0,         0,   0.453,mwpf__7595f1989eefae4de82e904e644f49a63fe471a3031b60ee07beb76bf34e0318,ed5ad73d89f3984fc931dc682223eae7c7b7a5bf74a81399144ce6b3aa024db1,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""decoder_version"":""0.2.12+fixmemleak4"",""p"":0.05,""p_erase"":0.05,""r"":9,""run_id"":""d0fc549aaf594df7da81bf665580cfc50f637ab35c007f9fdca63182282e2fd0"",""sinter_version"":""1.16.dev1761611832"",""stim_version"":""1.16.dev1761611832""}",
