     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     18705,       334,         0,   0.009,pymatching,985c68e304035aeb52eabd12e6df6f508ef69ea93774e0c51cf471e32fb9a106,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""pymatching"",""decoder_type"":null,""p"":0.0065,""p_erase"":0.0,""r"":3,""run_id"":""38047c63c1a63b9d68a265f8eef7703e49945552d93bee3ae38cc734e7dd9a64""}",
     13585,       666,         0,   0.009,pymatching,ddd3f56ad69b29def059ead258e641f161362d10a9c17744d987ebb52469a1f5,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""pymatching"",""decoder_type"":null,""p"":0.011,""p_erase"":0.0,""r"":3,""run_id"":""945f73dabde4c6b13a28ecee2ae2a6f6c75162f169fa8b501245f75911055cdf""}",
     24849,       434,         0,   0.009,pymatching,46df5dce9d86ab00b870b35c6aa9962fe6fafab4c2419ed6d91045dfd4d6a2e6,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""pymatching"",""decoder_type"":null,""p"":0.006,""p_erase"":0.0,""r"":3,""run_id"":""a280df8001cea1ee070a56c4996ec5d50320b8479c12fc1989535040228b7844""}",
      7441,        44,         0,   0.010,pymatching,6b8e617f3ef09d9760f9d6463e55bf6f68f2487296ca7815acf915dac70dd214,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":5,""decoder"":""pymatching"",""decoder_type"":null,""p"":0.004,""p_erase"":0.0,""r"":5,""run_id"":""a008ffb481bda2017dfcb879635fa8388e218721ed152b56043459aa4404b180""}",
     43281,        27,         0,   0.008,pymatching,0452496056397b4f992c8e8861ea3d5fa6965a49ad14c52c265cc4394171d8f2,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""pymatching"",""decoder_type"":null,""p"":0.001,""p_erase"":0.0,""r"":3,""run_id"":""d172fc5198bbf949f1e6d23cdb320fdf27d83251bba9328b122b374cd0c7219d""}",
     19729,       702,         0,   0.009,pymatching,7dc8660fa7b675e0b7a7b25e7f8be9f5a5f61d81955402db6f1feb5a0ad138c3,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""pymatching"",""decoder_type"":null,""p"":0.009,""p_erase"":0.0,""r"":3,""run_id"":""41c8a8737ab88760e2482764a976d4e1215e793afb5c7515836adab1b3beb68b""}",
     33041,       269,         0,   0.008,pymatching,9a91f9de93cc9d242330c6fa1ef6520413dedb5a232b803dffe823d41b2d65a2,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""pymatching"",""decoder_type"":null,""p"":0.004,""p_erase"":0.0,""r"":3,""run_id"":""802dee4d8cb2ab32054c80ddfdaee33432e9b4b313d923c5c5e938004e4867b3""}",
     23825,       556,         0,   0.009,pymatching,ecab6b9d6d97c1f1e49fec31ae07ca166e680c6823bcac341ff5229b15b4e14e,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""pymatching"",""decoder_type"":null,""p"":0.0075,""p_erase"":0.0,""r"":3,""run_id"":""2abbd67f691a06be56a714841dbb3ffc69ff07228f5deb34fab16bef9900ebe0""}",
     37888,       739,         0,   0.012,pymatching,985c68e304035aeb52eabd12e6df6f508ef69ea93774e0c51cf471e32fb9a106,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""pymatching"",""decoder_type"":null,""p"":0.0065,""p_erase"":0.0,""r"":3,""run_id"":""38047c63c1a63b9d68a265f8eef7703e49945552d93bee3ae38cc734e7dd9a64""}",
     18705,         0,         0,   0.009,pymatching,e5ab5affce2ded52f692e77fe211891492318c62b9c56cf3dd96c02be5579024,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":5,""decoder"":""pymatching"",""decoder_type"":null,""p"":0.001,""p_erase"":0.0,""r"":5,""run_id"":""81bd8dd36e3080fed91254839f23cad976e6574caba7343d4025f307e163b165""}",
