     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
        17,         2,         0,   0.037,mwpf,b376f6d6317da4e9f6a399ed3829aeebbb397d526c8aacd350fbac014cb1c2f0,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.006,""r"":9}","{""detection_events"":80,""detectors_checked"":1224,""obs_mistake_mask=E"":2}"
      1297,         3,         0,   0.080,mwpf,843923159a7c185a00efc3d89de4ef91b3a681c2b592aec34e7be171b3c9b59c,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":9}","{""detection_events"":1176,""detectors_checked"":93384,""obs_mistake_mask=E"":3}"
        17,         0,         0,   0.131,mwpf,19872aa5c7ca60adf6b5331f750d8e16db82ed75c2518fea7ae4d9be096071d6,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.005,""r"":9}","{""detection_events"":69,""detectors_checked"":1224}"
        64,         3,         0,   0.050,mwpf,19872aa5c7ca60adf6b5331f750d8e16db82ed75c2518fea7ae4d9be096071d6,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.005,""r"":9}","{""detection_events"":312,""detectors_checked"":4608,""obs_mistake_mask=E"":3}"
       273,         5,         0,   0.190,mwpf,d488616bd24a8c33667ba36623e6dd788fcc53a9593d27ecf787f727398ba40c,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.004,""r"":9}","{""detection_events"":1006,""detectors_checked"":19656,""obs_mistake_mask=E"":5}"
        17,         0,         0,   0.060,mwpf,016a95bef85940acbb03ddd049440cad440a3c9787eb868e3bc7200d6f729b74,"{""d"":5,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":15}","{""detection_events"":78,""detectors_checked"":6120}"
       128,         0,         0,   0.047,mwpf,016a95bef85940acbb03ddd049440cad440a3c9787eb868e3bc7200d6f729b74,"{""d"":5,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":15}","{""detection_events"":724,""detectors_checked"":46080}"
         1,         0,         0,   0.228,mwpf,c612a222174dff6430f8c3f697980a26d087355eb82c7fa85d1461c341757fb8,"{""d"":5,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.005,""r"":15}","{""detection_events"":28,""detectors_checked"":360}"
        17,         0,         0,   0.175,mwpf,c1c1abc5c7982c75cf504ec6a3c48744db6bf1018106ab5f115289423dca0a4f,"{""d"":7,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":21}","{""detection_events"":237,""detectors_checked"":17136}"
      1024,         2,         0,   0.736,mwpf,843923159a7c185a00efc3d89de4ef91b3a681c2b592aec34e7be171b3c9b59c,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":9}","{""detection_events"":988,""detectors_checked"":73728,""obs_mistake_mask=E"":2}"
        32,         0,         0,   0.099,mwpf,c1c1abc5c7982c75cf504ec6a3c48744db6bf1018106ab5f115289423dca0a4f,"{""d"":7,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":21}","{""detection_events"":547,""detectors_checked"":32256}"
      1024,         3,         0,   0.052,mwpf,843923159a7c185a00efc3d89de4ef91b3a681c2b592aec34e7be171b3c9b59c,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":9}","{""detection_events"":1034,""detectors_checked"":73728,""obs_mistake_mask=E"":3}"
      1024,         1,         0,   0.163,mwpf,843923159a7c185a00efc3d89de4ef91b3a681c2b592aec34e7be171b3c9b59c,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":9}","{""detection_events"":920,""detectors_checked"":73728,""obs_mistake_mask=E"":1}"
         1,         0,         0,   0.566,mwpf,099b92056714cea87dd3d5f0fb9a8a98a8a412d1055d1abbb2940ef84cf259c1,"{""d"":7,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.004,""r"":21}","{""detection_events"":65,""detectors_checked"":1008}"
      1024,         3,         0,   0.125,mwpf,843923159a7c185a00efc3d89de4ef91b3a681c2b592aec34e7be171b3c9b59c,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":9}","{""detection_events"":1057,""detectors_checked"":73728,""obs_mistake_mask=E"":3}"
      1024,         2,         0,   0.087,mwpf,843923159a7c185a00efc3d89de4ef91b3a681c2b592aec34e7be171b3c9b59c,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":9}","{""detection_events"":1032,""detectors_checked"":73728,""obs_mistake_mask=E"":2}"
        17,         0,         0,    1.24,mwpf,45eaf76be8ee4917a879539ed982d1bbf8bf0c5926f0a74c63699d520f36e6d6,"{""d"":5,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.004,""r"":15}","{""detection_events"":324,""detectors_checked"":6120}"
      1024,         1,         0,   0.158,mwpf,843923159a7c185a00efc3d89de4ef91b3a681c2b592aec34e7be171b3c9b59c,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":9}","{""detection_events"":1064,""detectors_checked"":73728,""obs_mistake_mask=E"":1}"
        17,         0,         0,   0.084,mwpf,a61297c8921fe33c28af23ad378989150a3a190663c4985aae4dc937c0673463,"{""d"":9,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":27}","{""detection_events"":583,""detectors_checked"":36720}"
      1024,         0,         0,    1.16,mwpf,016a95bef85940acbb03ddd049440cad440a3c9787eb868e3bc7200d6f729b74,"{""d"":5,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":15}","{""detection_events"":5456,""detectors_checked"":368640}"
      3072,         4,         0,   0.179,mwpf,843923159a7c185a00efc3d89de4ef91b3a681c2b592aec34e7be171b3c9b59c,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":9}","{""detection_events"":3001,""detectors_checked"":221184,""obs_mistake_mask=E"":4}"
       256,        16,         0,    1.62,mwpf,b376f6d6317da4e9f6a399ed3829aeebbb397d526c8aacd350fbac014cb1c2f0,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.006,""r"":9}","{""detection_events"":1433,""detectors_checked"":18432,""obs_mistake_mask=E"":16}"
      2048,         5,         0,   0.195,mwpf,843923159a7c185a00efc3d89de4ef91b3a681c2b592aec34e7be171b3c9b59c,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":9}","{""detection_events"":1956,""detectors_checked"":147456,""obs_mistake_mask=E"":5}"
       128,         4,         0,   0.265,mwpf,b376f6d6317da4e9f6a399ed3829aeebbb397d526c8aacd350fbac014cb1c2f0,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.006,""r"":9}","{""detection_events"":680,""detectors_checked"":9216,""obs_mistake_mask=E"":4}"
         1,         0,         0,   0.624,mwpf,91dee3778aaf6f25d2a97cf36c7261da16bf7930f684707c091349f8e7054899,"{""d"":9,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.004,""r"":27}","{""detection_events"":157,""detectors_checked"":2160}"
      3072,         6,         0,   0.271,mwpf,843923159a7c185a00efc3d89de4ef91b3a681c2b592aec34e7be171b3c9b59c,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":9}","{""detection_events"":2800,""detectors_checked"":221184,""obs_mistake_mask=E"":6}"
       512,         9,         0,    1.98,mwpf,d488616bd24a8c33667ba36623e6dd788fcc53a9593d27ecf787f727398ba40c,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.004,""r"":9}","{""detection_events"":1937,""detectors_checked"":36864,""obs_mistake_mask=E"":9}"
       128,         0,         0,    1.33,mwpf,c1c1abc5c7982c75cf504ec6a3c48744db6bf1018106ab5f115289423dca0a4f,"{""d"":7,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":21}","{""detection_events"":2053,""detectors_checked"":129024}"
        64,         0,         0,   0.101,mwpf,c1c1abc5c7982c75cf504ec6a3c48744db6bf1018106ab5f115289423dca0a4f,"{""d"":7,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":21}","{""detection_events"":1168,""detectors_checked"":64512}"
        16,         0,         0,    1.03,mwpf,45eaf76be8ee4917a879539ed982d1bbf8bf0c5926f0a74c63699d520f36e6d6,"{""d"":5,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.004,""r"":15}","{""detection_events"":344,""detectors_checked"":5760}"
      1024,         3,         0,   0.481,mwpf,843923159a7c185a00efc3d89de4ef91b3a681c2b592aec34e7be171b3c9b59c,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":9}","{""detection_events"":1045,""detectors_checked"":73728,""obs_mistake_mask=E"":3}"
       512,        28,         0,    2.70,mwpf,19872aa5c7ca60adf6b5331f750d8e16db82ed75c2518fea7ae4d9be096071d6,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.005,""r"":9}","{""detection_events"":2294,""detectors_checked"":36864,""obs_mistake_mask=E"":28}"
         1,         0,         0,   0.890,mwpf,91dee3778aaf6f25d2a97cf36c7261da16bf7930f684707c091349f8e7054899,"{""d"":9,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.004,""r"":27}","{""detection_events"":160,""detectors_checked"":2160}"
       256,        10,         0,   0.740,mwpf,d488616bd24a8c33667ba36623e6dd788fcc53a9593d27ecf787f727398ba40c,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.004,""r"":9}","{""detection_events"":1007,""detectors_checked"":18432,""obs_mistake_mask=E"":10}"
         1,         0,         0,   0.113,mwpf,91dee3778aaf6f25d2a97cf36c7261da16bf7930f684707c091349f8e7054899,"{""d"":9,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.004,""r"":27}","{""detection_events"":125,""detectors_checked"":2160}"
      5120,        12,         0,   0.513,mwpf,843923159a7c185a00efc3d89de4ef91b3a681c2b592aec34e7be171b3c9b59c,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":9}","{""detection_events"":4944,""detectors_checked"":368640,""obs_mistake_mask=E"":12}"
         1,         0,         0,    2.05,mwpf,099b92056714cea87dd3d5f0fb9a8a98a8a412d1055d1abbb2940ef84cf259c1,"{""d"":7,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.004,""r"":21}","{""detection_events"":68,""detectors_checked"":1008}"
         1,         0,         0,   0.051,mwpf,099b92056714cea87dd3d5f0fb9a8a98a8a412d1055d1abbb2940ef84cf259c1,"{""d"":7,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.004,""r"":21}","{""detection_events"":51,""detectors_checked"":1008}"
         1,         0,         0,    1.99,mwpf,c8b4dffcab5f37d28de5161e173ce7e53a5690662caf1a8bcb34b94b53ddc904,"{""d"":9,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.005,""r"":27}","{""detection_events"":172,""detectors_checked"":2160}"
         1,         0,         0,   0.165,mwpf,c8b4dffcab5f37d28de5161e173ce7e53a5690662caf1a8bcb34b94b53ddc904,"{""d"":9,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.005,""r"":27}","{""detection_events"":161,""detectors_checked"":2160}"
       256,        10,         0,    1.64,mwpf,b376f6d6317da4e9f6a399ed3829aeebbb397d526c8aacd350fbac014cb1c2f0,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.006,""r"":9}","{""detection_events"":1481,""detectors_checked"":18432,""obs_mistake_mask=E"":10}"
      4096,        16,         0,   0.586,mwpf,843923159a7c185a00efc3d89de4ef91b3a681c2b592aec34e7be171b3c9b59c,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":9}","{""detection_events"":4066,""detectors_checked"":294912,""obs_mistake_mask=E"":16}"
       256,         0,         0,    1.35,mwpf,c1c1abc5c7982c75cf504ec6a3c48744db6bf1018106ab5f115289423dca0a4f,"{""d"":7,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":21}","{""detection_events"":4158,""detectors_checked"":258048}"
       128,         7,         0,   0.166,mwpf,b376f6d6317da4e9f6a399ed3829aeebbb397d526c8aacd350fbac014cb1c2f0,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.006,""r"":9}","{""detection_events"":709,""detectors_checked"":9216,""obs_mistake_mask=E"":7}"
        17,         1,         0,    3.58,mwpf,dc62badfd5e9537d4da07c415dc4ceecb9b6c89857ba2a5a2d1349205f944b36,"{""d"":5,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.006,""r"":15}","{""detection_events"":522,""detectors_checked"":6120,""obs_mistake_mask=E"":1}"
        16,         1,         0,    1.59,mwpf,45eaf76be8ee4917a879539ed982d1bbf8bf0c5926f0a74c63699d520f36e6d6,"{""d"":5,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.004,""r"":15}","{""detection_events"":345,""detectors_checked"":5760,""obs_mistake_mask=E"":1}"
        64,         0,         0,    2.57,mwpf,a61297c8921fe33c28af23ad378989150a3a190663c4985aae4dc937c0673463,"{""d"":9,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":27}","{""detection_events"":2354,""detectors_checked"":138240}"
        34,         0,         0,    3.76,mwpf,c612a222174dff6430f8c3f697980a26d087355eb82c7fa85d1461c341757fb8,"{""d"":5,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.005,""r"":15}","{""detection_events"":758,""detectors_checked"":12240}"
         8,         0,         0,   0.137,mwpf,45eaf76be8ee4917a879539ed982d1bbf8bf0c5926f0a74c63699d520f36e6d6,"{""d"":5,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.004,""r"":15}","{""detection_events"":152,""detectors_checked"":2880}"
