     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      1297,         9,         0,   0.024,mwpf,fe83400b3b4c93e3e7b95a55cd2e6c27614070148a4ecd49201c6aa3521620cf,"{""d"":3,""label"":""rotated_memory_x"",""p"":0.01,""r"":9}","{""detection_events"":1583,""detectors_checked"":93384,""obs_mistake_mask=E"":9}"
       273,         9,         0,   0.031,mwpf,67be77365b07d0bf3fea98285490be3596d1bb5ab978504fced5ecd8144af0fc,"{""d"":3,""label"":""rotated_memory_x"",""p"":0.03,""r"":9}","{""detection_events"":1096,""detectors_checked"":19656,""obs_mistake_mask=E"":9}"
       273,        15,         0,   0.048,mwpf,048f5965cf347941e2faada4f5b5545734a492a753e2cd7493392881b4a131cb,"{""d"":3,""label"":""rotated_memory_x"",""p"":0.04,""r"":9}","{""detection_events"":1509,""detectors_checked"":19656,""obs_mistake_mask=E"":15}"
      1297,        26,         0,   0.060,mwpf,9c0856c2f4525b4a6b324d2e5b93283772683b594f68b57105b4c764f23f621e,"{""d"":3,""label"":""rotated_memory_x"",""p"":0.02,""r"":9}","{""detection_events"":3546,""detectors_checked"":93384,""obs_mistake_mask=E"":26}"
      2048,        12,         0,   0.034,mwpf,fe83400b3b4c93e3e7b95a55cd2e6c27614070148a4ecd49201c6aa3521620cf,"{""d"":3,""label"":""rotated_memory_x"",""p"":0.01,""r"":9}","{""detection_events"":2804,""detectors_checked"":147456,""obs_mistake_mask=E"":12}"
      1024,        28,         0,   0.032,mwpf,9c0856c2f4525b4a6b324d2e5b93283772683b594f68b57105b4c764f23f621e,"{""d"":3,""label"":""rotated_memory_x"",""p"":0.02,""r"":9}","{""detection_events"":2764,""detectors_checked"":73728,""obs_mistake_mask=E"":28}"
      2048,        18,         0,   0.032,mwpf,fe83400b3b4c93e3e7b95a55cd2e6c27614070148a4ecd49201c6aa3521620cf,"{""d"":3,""label"":""rotated_memory_x"",""p"":0.01,""r"":9}","{""detection_events"":2650,""detectors_checked"":147456,""obs_mistake_mask=E"":18}"
      1024,        43,         0,   0.066,mwpf,67be77365b07d0bf3fea98285490be3596d1bb5ab978504fced5ecd8144af0fc,"{""d"":3,""label"":""rotated_memory_x"",""p"":0.03,""r"":9}","{""detection_events"":4034,""detectors_checked"":73728,""obs_mistake_mask=E"":43}"
        17,         0,         0,   0.010,mwpf,59fadbac31c1cc823a6f0229dcd2462cfd981a741d426c85387e26ceb1301315,"{""d"":5,""label"":""rotated_memory_x"",""p"":0.03,""r"":15}","{""detection_events"":388,""detectors_checked"":6120}"
        17,         0,         0,   0.017,mwpf,9e4139c5baa0ecbc158b0da959b195057d61affdb1e0bbda3e2d752685e74fb7,"{""d"":5,""label"":""rotated_memory_x"",""p"":0.04,""r"":15}","{""detection_events"":518,""detectors_checked"":6120}"
       273,         0,         0,   0.026,mwpf,ff7af02fc461c28c36cdd753a22165cefbcc46e03ff3b789d2a8a5641b103f97,"{""d"":5,""label"":""rotated_memory_x"",""p"":0.01,""r"":15}","{""detection_events"":2105,""detectors_checked"":98280}"
