     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       273,         3,         0,   0.012,mwpf__7d1d4f67-e821-4f72-9958-6a17cd3cb303,451b28a68051fab4cfc04910d0645a4e37c5419cd6720803dd0382116a9badbf,"{""d"":3,""label"":""rotated_memory_x"",""p"":0,""p_erase"":0.01,""r"":9,""run_id"":""7d1d4f67-e821-4f72-9958-6a17cd3cb303""}","{""detection_events"":1003,""detectors_checked"":41769,""obs_mistake_mask=E"":3}"
        17,         9,         0,   0.013,mwpf__f468f9d8-272f-467f-8008-d546a2c471cb,6037c551df1a605b0de7e04af739105d50d705bac126809c14281af35feddd50,"{""d"":3,""label"":""rotated_memory_x"",""p"":0,""p_erase"":0.2,""r"":9,""run_id"":""f468f9d8-272f-467f-8008-d546a2c471cb""}","{""detection_events"":855,""detectors_checked"":2601,""obs_mistake_mask=E"":9}"
       273,        44,         0,   0.041,mwpf__0f1b2349-e498-4a25-a109-75caea0b7abb,51af1d6acd24d5a3b26d722ff8dbe8c11f1ebd0f6976562b084219f6ab213522,"{""d"":3,""label"":""rotated_memory_x"",""p"":0,""p_erase"":0.04,""r"":9,""run_id"":""0f1b2349-e498-4a25-a109-75caea0b7abb""}","{""detection_events"":3747,""detectors_checked"":41769,""obs_mistake_mask=E"":44}"
      1024,        12,         0,   0.022,mwpf__7d1d4f67-e821-4f72-9958-6a17cd3cb303,451b28a68051fab4cfc04910d0645a4e37c5419cd6720803dd0382116a9badbf,"{""d"":3,""label"":""rotated_memory_x"",""p"":0,""p_erase"":0.01,""r"":9,""run_id"":""7d1d4f67-e821-4f72-9958-6a17cd3cb303""}","{""detection_events"":3862,""detectors_checked"":156672,""obs_mistake_mask=E"":12}"
      1024,        16,         0,   0.032,mwpf__7d1d4f67-e821-4f72-9958-6a17cd3cb303,451b28a68051fab4cfc04910d0645a4e37c5419cd6720803dd0382116a9badbf,"{""d"":3,""label"":""rotated_memory_x"",""p"":0,""p_erase"":0.01,""r"":9,""run_id"":""7d1d4f67-e821-4f72-9958-6a17cd3cb303""}","{""detection_events"":3722,""detectors_checked"":156672,""obs_mistake_mask=E"":16}"
       273,        26,         0,   0.020,mwpf__bf71ac62-b4a6-4517-b70f-831e6839b6b3,3a43986b583feec5372ce5ba347ce9bb9c18c5edc6ab32e89a93da3ec99e6929,"{""d"":3,""label"":""rotated_memory_x"",""p"":0,""p_erase"":0.03,""r"":9,""run_id"":""bf71ac62-b4a6-4517-b70f-831e6839b6b3""}","{""detection_events"":2919,""detectors_checked"":41769,""obs_mistake_mask=E"":26}"
       273,        11,         0,   0.014,mwpf__ca4235b4-9172-4e39-8117-aa04ae373721,74e274f2476e845e1e872654a068808c443e89ab742fc453e89a8f2924cb751f,"{""d"":3,""label"":""rotated_memory_x"",""p"":0,""p_erase"":0.02,""r"":9,""run_id"":""ca4235b4-9172-4e39-8117-aa04ae373721""}","{""detection_events"":1961,""detectors_checked"":41769,""obs_mistake_mask=E"":11}"
       273,       126,         0,   0.084,mwpf__e0a70d78-1b05-4210-9a41-491e428118ec,8b94dbbd1b3f98545c20b80c2702a48fe75542148286cec33ec8ae39e26bd147,"{""d"":3,""label"":""rotated_memory_x"",""p"":0,""p_erase"":0.1,""r"":9,""run_id"":""e0a70d78-1b05-4210-9a41-491e428118ec""}","{""detection_events"":8239,""detectors_checked"":41769,""obs_mistake_mask=E"":126}"
      1024,         7,         0,   0.034,mwpf__7d1d4f67-e821-4f72-9958-6a17cd3cb303,451b28a68051fab4cfc04910d0645a4e37c5419cd6720803dd0382116a9badbf,"{""d"":3,""label"":""rotated_memory_x"",""p"":0,""p_erase"":0.01,""r"":9,""run_id"":""7d1d4f67-e821-4f72-9958-6a17cd3cb303""}","{""detection_events"":3854,""detectors_checked"":156672,""obs_mistake_mask=E"":7}"
       273,        95,         0,   0.082,mwpf__9984092c-6434-4a65-b5aa-20cc257477c1,c1479bb4db0d766d124ca724b0c1a998c1942cb9896f34bc88e2f8815a7140d4,"{""d"":3,""label"":""rotated_memory_x"",""p"":0,""p_erase"":0.08,""r"":9,""run_id"":""9984092c-6434-4a65-b5aa-20cc257477c1""}","{""detection_events"":6710,""detectors_checked"":41769,""obs_mistake_mask=E"":95}"
       273,        66,         0,   0.052,mwpf__885f8fea-c758-417d-b577-7ca372716286,2aa7e708d32cb2c3e84761a439988e19f9e48aa2e29dcb3313293651cede0f31,"{""d"":3,""label"":""rotated_memory_x"",""p"":0,""p_erase"":0.05,""r"":9,""run_id"":""885f8fea-c758-417d-b577-7ca372716286""}","{""detection_events"":4679,""detectors_checked"":41769,""obs_mistake_mask=E"":66}"
       256,       117,         0,   0.112,mwpf__f468f9d8-272f-467f-8008-d546a2c471cb,6037c551df1a605b0de7e04af739105d50d705bac126809c14281af35feddd50,"{""d"":3,""label"":""rotated_memory_x"",""p"":0,""p_erase"":0.2,""r"":9,""run_id"":""f468f9d8-272f-467f-8008-d546a2c471cb""}","{""detection_events"":12689,""detectors_checked"":39168,""obs_mistake_mask=E"":117}"
       273,       103,         0,   0.081,mwpf__86cb807d-513a-4b01-9247-c5dfbebbd9eb,5947ed624b3705cb1036d4d45f47e36cdcd85d2cef3048b089f943a6d231894c,"{""d"":3,""label"":""rotated_memory_x"",""p"":0,""p_erase"":0.07,""r"":9,""run_id"":""86cb807d-513a-4b01-9247-c5dfbebbd9eb""}","{""detection_events"":6266,""detectors_checked"":41769,""obs_mistake_mask=E"":103}"
