     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
        17,         0,         0,   0.010,mwpf,b376f6d6317da4e9f6a399ed3829aeebbb397d526c8aacd350fbac014cb1c2f0,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.006,""r"":9}","{""detection_events"":82,""detectors_checked"":1224}"
       273,         0,         0,   0.012,mwpf,843923159a7c185a00efc3d89de4ef91b3a681c2b592aec34e7be171b3c9b59c,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":9}","{""detection_events"":282,""detectors_checked"":19656}"
       273,         7,         0,   0.049,mwpf,d488616bd24a8c33667ba36623e6dd788fcc53a9593d27ecf787f727398ba40c,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.004,""r"":9}","{""detection_events"":992,""detectors_checked"":19656,""obs_mistake_mask=E"":7}"
      1024,         2,         0,   0.047,mwpf,843923159a7c185a00efc3d89de4ef91b3a681c2b592aec34e7be171b3c9b59c,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":9}","{""detection_events"":1037,""detectors_checked"":73728,""obs_mistake_mask=E"":2}"
       273,        12,         0,   0.066,mwpf,19872aa5c7ca60adf6b5331f750d8e16db82ed75c2518fea7ae4d9be096071d6,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.005,""r"":9}","{""detection_events"":1240,""detectors_checked"":19656,""obs_mistake_mask=E"":12}"
       256,        16,         0,   0.068,mwpf,b376f6d6317da4e9f6a399ed3829aeebbb397d526c8aacd350fbac014cb1c2f0,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.006,""r"":9}","{""detection_events"":1339,""detectors_checked"":18432,""obs_mistake_mask=E"":16}"
      1024,         2,         0,   0.038,mwpf,843923159a7c185a00efc3d89de4ef91b3a681c2b592aec34e7be171b3c9b59c,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":9}","{""detection_events"":1036,""detectors_checked"":73728,""obs_mistake_mask=E"":2}"
      1024,         1,         0,   0.038,mwpf,843923159a7c185a00efc3d89de4ef91b3a681c2b592aec34e7be171b3c9b59c,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":9}","{""detection_events"":993,""detectors_checked"":73728,""obs_mistake_mask=E"":1}"
      1024,         2,         0,   0.044,mwpf,843923159a7c185a00efc3d89de4ef91b3a681c2b592aec34e7be171b3c9b59c,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":9}","{""detection_events"":1050,""detectors_checked"":73728,""obs_mistake_mask=E"":2}"
      1024,        22,         0,   0.161,mwpf,d488616bd24a8c33667ba36623e6dd788fcc53a9593d27ecf787f727398ba40c,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.004,""r"":9}","{""detection_events"":3968,""detectors_checked"":73728,""obs_mistake_mask=E"":22}"
        17,         0,         0,   0.040,mwpf,45eaf76be8ee4917a879539ed982d1bbf8bf0c5926f0a74c63699d520f36e6d6,"{""d"":5,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.004,""r"":15}","{""detection_events"":398,""detectors_checked"":6120}"
        17,         2,         0,   0.073,mwpf,dc62badfd5e9537d4da07c415dc4ceecb9b6c89857ba2a5a2d1349205f944b36,"{""d"":5,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.006,""r"":15}","{""detection_events"":544,""detectors_checked"":6120,""obs_mistake_mask=E"":2}"
      2048,         5,         0,   0.064,mwpf,843923159a7c185a00efc3d89de4ef91b3a681c2b592aec34e7be171b3c9b59c,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":9}","{""detection_events"":1956,""detectors_checked"":147456,""obs_mistake_mask=E"":5}"
        17,         1,         0,   0.060,mwpf,c612a222174dff6430f8c3f697980a26d087355eb82c7fa85d1461c341757fb8,"{""d"":5,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.005,""r"":15}","{""detection_events"":458,""detectors_checked"":6120,""obs_mistake_mask=E"":1}"
      1024,        35,         0,   0.172,mwpf,19872aa5c7ca60adf6b5331f750d8e16db82ed75c2518fea7ae4d9be096071d6,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.005,""r"":9}","{""detection_events"":4592,""detectors_checked"":73728,""obs_mistake_mask=E"":35}"
       273,         0,         0,   0.076,mwpf,016a95bef85940acbb03ddd049440cad440a3c9787eb868e3bc7200d6f729b74,"{""d"":5,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":15}","{""detection_events"":1632,""detectors_checked"":98280}"
      1024,        64,         0,   0.269,mwpf,b376f6d6317da4e9f6a399ed3829aeebbb397d526c8aacd350fbac014cb1c2f0,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.006,""r"":9}","{""detection_events"":5788,""detectors_checked"":73728,""obs_mistake_mask=E"":64}"
      3072,         6,         0,   0.103,mwpf,843923159a7c185a00efc3d89de4ef91b3a681c2b592aec34e7be171b3c9b59c,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":9}","{""detection_events"":3034,""detectors_checked"":221184,""obs_mistake_mask=E"":6}"
      1024,        33,         0,   0.150,mwpf,d488616bd24a8c33667ba36623e6dd788fcc53a9593d27ecf787f727398ba40c,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.004,""r"":9}","{""detection_events"":3705,""detectors_checked"":73728,""obs_mistake_mask=E"":33}"
      1024,        30,         0,   0.190,mwpf,19872aa5c7ca60adf6b5331f750d8e16db82ed75c2518fea7ae4d9be096071d6,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.005,""r"":9}","{""detection_events"":4656,""detectors_checked"":73728,""obs_mistake_mask=E"":30}"
      3072,         6,         0,   0.110,mwpf,843923159a7c185a00efc3d89de4ef91b3a681c2b592aec34e7be171b3c9b59c,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":9}","{""detection_events"":2916,""detectors_checked"":221184,""obs_mistake_mask=E"":6}"
      1024,         0,         0,   0.261,mwpf,016a95bef85940acbb03ddd049440cad440a3c9787eb868e3bc7200d6f729b74,"{""d"":5,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.001,""r"":15}","{""detection_events"":5694,""detectors_checked"":368640}"
      1024,        27,         0,   0.149,mwpf,d488616bd24a8c33667ba36623e6dd788fcc53a9593d27ecf787f727398ba40c,"{""d"":3,""decoder"":""mwpf"",""label"":""rotated_memory_x"",""p"":0.004,""r"":9}","{""detection_events"":3839,""detectors_checked"":73728,""obs_mistake_mask=E"":27}"
