     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      8465,       306,         0,   0.010,pymatching,c050549f15f2f60fed977f47b8315b8424f404047192575a83417c4fa558fc22,"{""circuit"":""rotated_memory_x"",""d"":3,""decoder"":""pymatching"",""p"":0.004,""r"":9}","{""detection_events"":31297,""detectors_checked"":609480,""obs_mistake_mask=E"":306}"
      5393,       383,         0,   0.010,pymatching,0aca0ccc30147399106baab62a0ba49b5594915c5b2f29cbe78c9535ac8fb933,"{""circuit"":""rotated_memory_x"",""d"":3,""decoder"":""pymatching"",""p"":0.006,""r"":9}","{""detection_events"":29107,""detectors_checked"":388296,""obs_mistake_mask=E"":383}"
     14609,        32,         0,   0.010,pymatching,402c710aec6ae89e2574355e3b46c1247e051170cfa959f8131ed1110370f5e8,"{""circuit"":""rotated_memory_x"",""d"":3,""decoder"":""pymatching"",""p"":0.001,""r"":9}","{""detection_events"":13944,""detectors_checked"":1051848,""obs_mistake_mask=E"":32}"
      1297,        71,         0,   0.011,pymatching,24b4924786eb9e4c6d48d5095e7e9c251603a239879e571575742d54dd6f1280,"{""circuit"":""rotated_memory_x"",""d"":5,""decoder"":""pymatching"",""p"":0.005,""r"":15}","{""detection_events"":33982,""detectors_checked"":466920,""obs_mistake_mask=E"":71}"
      7441,       391,         0,   0.010,pymatching,aeaa2051a338b65021820faaefb779cfc6b9aa21dad0cf5ce54c89a577497206,"{""circuit"":""rotated_memory_x"",""d"":3,""decoder"":""pymatching"",""p"":0.005,""r"":9}","{""detection_events"":34050,""detectors_checked"":535752,""obs_mistake_mask=E"":391}"
      5393,         7,         0,   0.011,pymatching,e0140e03defeeea6044c6ab0ee55bd8634b24235187d2569dbfb9536948b147c,"{""circuit"":""rotated_memory_x"",""d"":5,""decoder"":""pymatching"",""p"":0.001,""r"":15}","{""detection_events"":29864,""detectors_checked"":1941480,""obs_mistake_mask=E"":7}"
      2321,        74,         0,   0.016,pymatching,a950ef260e73e71a8539346f717f5fbcad16072cf20cb4621e2609fb478e1bd9,"{""circuit"":""rotated_memory_x"",""d"":5,""decoder"":""pymatching"",""p"":0.004,""r"":15}","{""detection_events"":50045,""detectors_checked"":835560,""obs_mistake_mask=E"":74}"
      1297,        98,         0,   0.015,pymatching,5631c3f43c25dd7162d438465787b145c5624432c71812dcf1730c9982f0d492,"{""circuit"":""rotated_memory_x"",""d"":5,""decoder"":""pymatching"",""p"":0.006,""r"":15}","{""detection_events"":40183,""detectors_checked"":466920,""obs_mistake_mask=E"":98}"
      1297,         1,         0,   0.010,pymatching,301321bae7e966944db9795bd6c5cd7173a2e3e4fbe1a6d7359728579c8ec665,"{""circuit"":""rotated_memory_x"",""d"":7,""decoder"":""pymatching"",""p"":0.001,""r"":21}","{""detection_events"":21922,""detectors_checked"":1307376,""obs_mistake_mask=E"":1}"
       273,         8,         0,   0.011,pymatching,79bcc284cc4852479a71a5deb2c09cd674ff1bed5e1b591e75c6b69878bb5423,"{""circuit"":""rotated_memory_x"",""d"":7,""decoder"":""pymatching"",""p"":0.005,""r"":21}","{""detection_events"":21178,""detectors_checked"":275184,""obs_mistake_mask=E"":8}"
     13312,       468,         0,   0.014,pymatching,c050549f15f2f60fed977f47b8315b8424f404047192575a83417c4fa558fc22,"{""circuit"":""rotated_memory_x"",""d"":3,""decoder"":""pymatching"",""p"":0.004,""r"":9}","{""detection_events"":49107,""detectors_checked"":958464,""obs_mistake_mask=E"":468}"
      9216,       651,         0,   0.014,pymatching,0aca0ccc30147399106baab62a0ba49b5594915c5b2f29cbe78c9535ac8fb933,"{""circuit"":""rotated_memory_x"",""d"":3,""decoder"":""pymatching"",""p"":0.006,""r"":9}","{""detection_events"":49915,""detectors_checked"":663552,""obs_mistake_mask=E"":651}"
