     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      6417,       234,         0,   0.010,pymatching,c050549f15f2f60fed977f47b8315b8424f404047192575a83417c4fa558fc22,"{""circuit"":""rotated_memory_x"",""d"":3,""decoder"":""pymatching"",""p"":0.004,""r"":9}","{""detection_events"":23907,""detectors_checked"":462024,""obs_mistake_mask=E"":234}"
     14609,        56,         0,   0.009,pymatching,402c710aec6ae89e2574355e3b46c1247e051170cfa959f8131ed1110370f5e8,"{""circuit"":""rotated_memory_x"",""d"":3,""decoder"":""pymatching"",""p"":0.001,""r"":9}","{""detection_events"":13975,""detectors_checked"":1051848,""obs_mistake_mask=E"":56}"
      2321,        77,         0,   0.015,pymatching,a950ef260e73e71a8539346f717f5fbcad16072cf20cb4621e2609fb478e1bd9,"{""circuit"":""rotated_memory_x"",""d"":5,""decoder"":""pymatching"",""p"":0.004,""r"":15}","{""detection_events"":49890,""detectors_checked"":835560,""obs_mistake_mask=E"":77}"
      1297,       119,         0,   0.015,pymatching,5631c3f43c25dd7162d438465787b145c5624432c71812dcf1730c9982f0d492,"{""circuit"":""rotated_memory_x"",""d"":5,""decoder"":""pymatching"",""p"":0.006,""r"":15}","{""detection_events"":40036,""detectors_checked"":466920,""obs_mistake_mask=E"":119}"
      6417,       349,         0,   0.011,pymatching,aeaa2051a338b65021820faaefb779cfc6b9aa21dad0cf5ce54c89a577497206,"{""circuit"":""rotated_memory_x"",""d"":3,""decoder"":""pymatching"",""p"":0.005,""r"":9}","{""detection_events"":29049,""detectors_checked"":462024,""obs_mistake_mask=E"":349}"
      5393,       409,         0,   0.011,pymatching,0aca0ccc30147399106baab62a0ba49b5594915c5b2f29cbe78c9535ac8fb933,"{""circuit"":""rotated_memory_x"",""d"":3,""decoder"":""pymatching"",""p"":0.006,""r"":9}","{""detection_events"":28843,""detectors_checked"":388296,""obs_mistake_mask=E"":409}"
     11264,       427,         0,   0.014,pymatching,c050549f15f2f60fed977f47b8315b8424f404047192575a83417c4fa558fc22,"{""circuit"":""rotated_memory_x"",""d"":3,""decoder"":""pymatching"",""p"":0.004,""r"":9}","{""detection_events"":42189,""detectors_checked"":811008,""obs_mistake_mask=E"":427}"
      4369,         2,         0,   0.011,pymatching,e0140e03defeeea6044c6ab0ee55bd8634b24235187d2569dbfb9536948b147c,"{""circuit"":""rotated_memory_x"",""d"":5,""decoder"":""pymatching"",""p"":0.001,""r"":15}","{""detection_events"":24376,""detectors_checked"":1572840,""obs_mistake_mask=E"":2}"
      1297,        70,         0,   0.016,pymatching,24b4924786eb9e4c6d48d5095e7e9c251603a239879e571575742d54dd6f1280,"{""circuit"":""rotated_memory_x"",""d"":5,""decoder"":""pymatching"",""p"":0.005,""r"":15}","{""detection_events"":33907,""detectors_checked"":466920,""obs_mistake_mask=E"":70}"
     21504,        53,         0,   0.012,pymatching,402c710aec6ae89e2574355e3b46c1247e051170cfa959f8131ed1110370f5e8,"{""circuit"":""rotated_memory_x"",""d"":3,""decoder"":""pymatching"",""p"":0.001,""r"":9}","{""detection_events"":21016,""detectors_checked"":1548288,""obs_mistake_mask=E"":53}"
       273,        12,         0,   0.011,pymatching,79bcc284cc4852479a71a5deb2c09cd674ff1bed5e1b591e75c6b69878bb5423,"{""circuit"":""rotated_memory_x"",""d"":7,""decoder"":""pymatching"",""p"":0.005,""r"":21}","{""detection_events"":21075,""detectors_checked"":275184,""obs_mistake_mask=E"":12}"
      2321,         1,         0,   0.014,pymatching,301321bae7e966944db9795bd6c5cd7173a2e3e4fbe1a6d7359728579c8ec665,"{""circuit"":""rotated_memory_x"",""d"":7,""decoder"":""pymatching"",""p"":0.001,""r"":21}","{""detection_events"":38231,""detectors_checked"":2339568,""obs_mistake_mask=E"":1}"
      2048,        53,         0,   0.014,pymatching,a950ef260e73e71a8539346f717f5fbcad16072cf20cb4621e2609fb478e1bd9,"{""circuit"":""rotated_memory_x"",""d"":5,""decoder"":""pymatching"",""p"":0.004,""r"":15}","{""detection_events"":43309,""detectors_checked"":737280,""obs_mistake_mask=E"":53}"
      8192,       420,         0,   0.014,pymatching,aeaa2051a338b65021820faaefb779cfc6b9aa21dad0cf5ce54c89a577497206,"{""circuit"":""rotated_memory_x"",""d"":3,""decoder"":""pymatching"",""p"":0.005,""r"":9}","{""detection_events"":37792,""detectors_checked"":589824,""obs_mistake_mask=E"":420}"
      8192,       589,         0,   0.015,pymatching,0aca0ccc30147399106baab62a0ba49b5594915c5b2f29cbe78c9535ac8fb933,"{""circuit"":""rotated_memory_x"",""d"":3,""decoder"":""pymatching"",""p"":0.006,""r"":9}","{""detection_events"":44544,""detectors_checked"":589824,""obs_mistake_mask=E"":589}"
      8192,         3,         0,   0.015,pymatching,e0140e03defeeea6044c6ab0ee55bd8634b24235187d2569dbfb9536948b147c,"{""circuit"":""rotated_memory_x"",""d"":5,""decoder"":""pymatching"",""p"":0.001,""r"":15}","{""detection_events"":45712,""detectors_checked"":2949120,""obs_mistake_mask=E"":3}"
      2048,       150,         0,   0.020,pymatching,5631c3f43c25dd7162d438465787b145c5624432c71812dcf1730c9982f0d492,"{""circuit"":""rotated_memory_x"",""d"":5,""decoder"":""pymatching"",""p"":0.006,""r"":15}","{""detection_events"":63561,""detectors_checked"":737280,""obs_mistake_mask=E"":150}"
     14336,       497,         0,   0.019,pymatching,c050549f15f2f60fed977f47b8315b8424f404047192575a83417c4fa558fc22,"{""circuit"":""rotated_memory_x"",""d"":3,""decoder"":""pymatching"",""p"":0.004,""r"":9}","{""detection_events"":53467,""detectors_checked"":1032192,""obs_mistake_mask=E"":497}"
      2048,        94,         0,   0.016,pymatching,24b4924786eb9e4c6d48d5095e7e9c251603a239879e571575742d54dd6f1280,"{""circuit"":""rotated_memory_x"",""d"":5,""decoder"":""pymatching"",""p"":0.005,""r"":15}","{""detection_events"":53684,""detectors_checked"":737280,""obs_mistake_mask=E"":94}"
      3072,         0,         0,   0.015,pymatching,301321bae7e966944db9795bd6c5cd7173a2e3e4fbe1a6d7359728579c8ec665,"{""circuit"":""rotated_memory_x"",""d"":7,""decoder"":""pymatching"",""p"":0.001,""r"":21}","{""detection_events"":51006,""detectors_checked"":3096576}"
     33792,        97,         0,   0.018,pymatching,402c710aec6ae89e2574355e3b46c1247e051170cfa959f8131ed1110370f5e8,"{""circuit"":""rotated_memory_x"",""d"":3,""decoder"":""pymatching"",""p"":0.001,""r"":9}","{""detection_events"":32879,""detectors_checked"":2433024,""obs_mistake_mask=E"":97}"
      1297,         0,         0,   0.020,pymatching,b991e05cd920fe131e65e21bb520d7ca5990fdcb35cdceed6a670b201d1e08f1,"{""circuit"":""rotated_memory_x"",""d"":9,""decoder"":""pymatching"",""p"":0.001,""r"":27}","{""detection_events"":48214,""detectors_checked"":2801520}"
       273,         5,         0,   0.017,pymatching,0b5d388b0318c60acab73dedd72b67d44208fae90728d519574a7d8c60d63ce2,"{""circuit"":""rotated_memory_x"",""d"":9,""decoder"":""pymatching"",""p"":0.004,""r"":27}","{""detection_events"":38363,""detectors_checked"":589680,""obs_mistake_mask=E"":5}"
      1024,        42,         0,   0.025,pymatching,79bcc284cc4852479a71a5deb2c09cd674ff1bed5e1b591e75c6b69878bb5423,"{""circuit"":""rotated_memory_x"",""d"":7,""decoder"":""pymatching"",""p"":0.005,""r"":21}","{""detection_events"":79528,""detectors_checked"":1032192,""obs_mistake_mask=E"":42}"
     13312,       718,         0,   0.020,pymatching,aeaa2051a338b65021820faaefb779cfc6b9aa21dad0cf5ce54c89a577497206,"{""circuit"":""rotated_memory_x"",""d"":3,""decoder"":""pymatching"",""p"":0.005,""r"":9}","{""detection_events"":60769,""detectors_checked"":958464,""obs_mistake_mask=E"":718}"
      4096,       115,         0,   0.024,pymatching,a950ef260e73e71a8539346f717f5fbcad16072cf20cb4621e2609fb478e1bd9,"{""circuit"":""rotated_memory_x"",""d"":5,""decoder"":""pymatching"",""p"":0.004,""r"":15}","{""detection_events"":86326,""detectors_checked"":1474560,""obs_mistake_mask=E"":115}"
     12288,       932,         0,   0.020,pymatching,0aca0ccc30147399106baab62a0ba49b5594915c5b2f29cbe78c9535ac8fb933,"{""circuit"":""rotated_memory_x"",""d"":3,""decoder"":""pymatching"",""p"":0.006,""r"":9}","{""detection_events"":67076,""detectors_checked"":884736,""obs_mistake_mask=E"":932}"
       273,        12,         0,   0.022,pymatching,3999d20dc1f10dd17f90a2f09a36a99e1a6a492e28eb1722e650238a2340f1d0,"{""circuit"":""rotated_memory_x"",""d"":9,""decoder"":""pymatching"",""p"":0.005,""r"":27}","{""detection_events"":47093,""detectors_checked"":589680,""obs_mistake_mask=E"":12}"
     11264,         6,         0,   0.019,pymatching,e0140e03defeeea6044c6ab0ee55bd8634b24235187d2569dbfb9536948b147c,"{""circuit"":""rotated_memory_x"",""d"":5,""decoder"":""pymatching"",""p"":0.001,""r"":15}","{""detection_events"":62480,""detectors_checked"":4055040,""obs_mistake_mask=E"":6}"
      2048,       164,         0,   0.020,pymatching,5631c3f43c25dd7162d438465787b145c5624432c71812dcf1730c9982f0d492,"{""circuit"":""rotated_memory_x"",""d"":5,""decoder"":""pymatching"",""p"":0.006,""r"":15}","{""detection_events"":64093,""detectors_checked"":737280,""obs_mistake_mask=E"":164}"
